HD137387     -15.0817   -0.0382233      39.8926     -24.1382     -27.0521
      29.8383
2.21802      2.21467      2.15589      2.25280      2.43483      2.35657
  720.0002    0.012849    0.016270    0.011831    0.020706    0.014827    0.013753
  727.5002    0.013836    0.017493    0.011802    0.023182    0.017636    0.013326
  735.0002    0.014999    0.018214    0.011970    0.024957    0.018641    0.013404
  742.5002    0.016053    0.018845    0.012091    0.025960    0.017534    0.013878
  750.0002    0.016523    0.019571    0.012315    0.026324    0.015147    0.014933
  757.5002    0.016215    0.020153    0.013013    0.026053    0.012951    0.017113
  765.0002    0.015184    0.020581    0.014028    0.025282    0.012020    0.020403
  772.5002    0.013901    0.020571    0.015072    0.023973    0.012498    0.023399
  780.0002    0.012761    0.019811    0.016254    0.022849    0.013950    0.025235
  787.5002    0.012045    0.018322    0.017987    0.022746    0.016096    0.026292
  795.0002    0.012059    0.016275    0.020378    0.023953    0.018678    0.026997
  802.5002    0.013375    0.014338    0.022697    0.025706    0.021554    0.027362
  810.0002    0.015816    0.013197    0.023515    0.027304    0.023665    0.027191
  817.5002    0.018465    0.013208    0.022227    0.028341    0.023827    0.025748
  825.0002    0.019935    0.013776    0.019884    0.028458    0.022599    0.023174
  832.5002    0.019814    0.014052    0.017843    0.028555    0.021560    0.020361
  840.0002    0.018900    0.013714    0.016789    0.029663    0.021694    0.018756
  847.5002    0.018261    0.013275    0.016469    0.031767    0.022222    0.019024
  855.0002    0.018202    0.013486    0.016640    0.033064    0.022207    0.020693
  862.5002    0.018578    0.014722    0.017546    0.032204    0.021439    0.022504
  870.0002    0.019114    0.016530    0.019071    0.029830    0.020361    0.023289
  877.5002    0.019372    0.018132    0.020322    0.027376    0.019863    0.022305
  885.0002    0.019059    0.018934    0.020407    0.026048    0.020334    0.020203
  892.5002    0.018594    0.018651    0.019539    0.025952    0.021283    0.018547
  900.0002    0.018670    0.017330    0.018831    0.026366    0.022273    0.018649
  907.5002    0.019625    0.015722    0.019243    0.026997    0.022932    0.020440
  915.0002    0.021117    0.014357    0.020707    0.027110    0.023082    0.022458
  922.5002    0.023118    0.014050    0.022118    0.026532    0.022316    0.023077
  930.0002    0.024877    0.014946    0.022878    0.025503    0.020587    0.021690
  937.5003    0.025328    0.016668    0.023283    0.024203    0.018755    0.018778
  945.0003    0.024269    0.018323    0.023456    0.022822    0.017524    0.015590
  952.5003    0.023096    0.019577    0.023549    0.022160    0.017680    0.013360
  960.0003    0.022842    0.020114    0.023736    0.022544    0.019322    0.012693
  967.5003    0.023419    0.019549    0.024211    0.023803    0.021579    0.013873
  975.0003    0.023963    0.017868    0.025531    0.025147    0.022966    0.015989
  982.5003    0.023593    0.015984    0.027729    0.025356    0.023086    0.018060
  990.0003    0.022898    0.015075    0.030345    0.024383    0.022612    0.019054
